id,document_id,fig_number,type,title,description,tags
1,1,Fig1,figure,Welfare Loss due to Russia Sanctions,Estimated welfare impact in % change in consumption equivalent for different sanction packages,"['russia', 'sanctions', 'welfare']"
2,1,Fig2,figure,Welfare Loss by Sanctioning Country,Country-level welfare impact from sanctioning Russia,"['sanctions', 'welfare', 'by country']"
3,2,Fig 29-01,figure,Parent Employment Status by Gender,Parent Employment Status by Gender,"['employment', 'gender', 'parents']"
4,2,Fig 29-02,figure,Ideal vs Actual Employment Distribution,Ideal vs Actual Employment Distribution,"['employment', 'ideal', 'gender']"
5,2,Fig 29-03,figure,Household Income Distribution by Gender,Household Income Distribution by Gender,"['income', 'gender', 'household']"
6,2,Fig 29-04,figure,Average Income Per Hour by Gender,Average Income Per Hour by Gender,"['income', 'wage gap', 'gender']"
7,3,Fig 28-01,figure,Reconstructed ESG Policy Framework,Reconstructed ESG Policy Framework,"['ESG', 'policy', 'taxonomy']"
8,3,Fig 28-02,figure,Taxonomy Sectoral Coverage & Emissions,Taxonomy Sectoral Coverage & Emissions,"['taxonomy', 'sectors', 'emissions']"
9,4,Fig 03-01,figure,Gender Representation on Executive Boards,Gender Representation on Executive Boards,"['gender', 'executive', 'boards']"
10,4,Fig 03-02,figure,Gender Representation on Supervisory Boards,Gender Representation on Supervisory Boards,"['gender', 'supervisory', 'boards']"
11,4,Fig 03-03,figure,Women in Top Boards in Germany and EU,Women in Top Boards in Germany and EU,"['gender', 'top boards', 'EU']"
12,4,Fig 03-04,figure,Supervisory Boards Quota Fulfillment,Supervisory Boards Quota Fulfillment,"['gender', 'quota', 'supervisory']"
13,4,Fig 03-05,figure,Inclusion of Women in Executive Boards,Inclusion of Women in Executive Boards,"['gender', 'inclusion', 'executive']"
14,4,Fig 03-06,figure,Companies Meeting Inclusion Requirements,Companies Meeting Inclusion Requirements,"['gender', 'companies', 'requirements']"
15,4,Fig 03-07,figure,Top 200 Companies Gender Board Data,Top 200 Companies Gender Board Data,"['gender', 'top 200', 'boards']"
